Frame_Index,CLIP_Similarity,Is_Train_Frame
0,0.991401,True
1,0.996858,True
2,0.995170,True
3,0.996762,True
4,0.993793,True
5,0.996104,True
6,0.996487,True
7,0.998278,True
8,0.979114,True
9,0.961483,True
10,0.990454,True
11,0.990666,True
12,0.992689,True
13,0.983490,True
14,0.987100,True
15,0.993126,True
16,0.990251,True
17,0.963836,True
18,0.980223,True
19,0.939943,True
20,0.987923,True
21,0.987707,True
22,0.991018,True
23,0.987963,True
24,0.984486,True
25,0.990283,True
26,0.992275,True
27,0.984294,True
28,0.985272,True
29,0.971609,True
30,0.982802,True
31,0.983947,True
32,0.983338,True
33,0.986505,True
34,0.982480,True
35,0.993351,True
36,0.987614,True
37,0.988771,True
38,0.982981,True
39,0.959425,True
40,0.981596,True
41,0.987833,True
42,0.991917,True
43,0.987518,True
44,0.989276,True
45,0.988974,True
46,0.991531,True
47,0.985590,True
48,0.992199,True
49,0.972709,True
50,0.985014,True
51,0.991951,True
52,0.993311,True
53,0.993372,True
54,0.993704,True
55,0.991231,True
56,0.985482,True
57,0.986247,True
58,0.978667,True
59,0.943680,True
60,0.983506,True
61,0.989671,True
62,0.990130,True
63,0.989003,True
64,0.988102,True
65,0.992896,True
66,0.994009,True
67,0.991720,True
68,0.992096,True
69,0.979284,True
70,0.993225,True
71,0.988808,True
72,0.984119,True
73,0.989733,True
74,0.990808,True
75,0.989920,True
76,0.985021,True
77,0.993447,True
78,0.988243,True
79,0.990724,True
80,0.988751,True
81,0.991465,True
82,0.992081,True
83,0.990842,True
84,0.992071,True
85,0.990851,True
86,0.991126,True
87,0.991986,True
88,0.994768,True
89,0.989417,True
90,0.992003,True
91,0.991693,True
92,0.993166,True
93,0.992001,True
94,0.995334,True
95,0.995351,True
96,0.990372,True
97,0.994188,True
98,0.990320,True
99,0.986951,True
100,0.988813,True
101,0.983789,True
102,0.991791,True
103,0.987017,True
104,0.988891,True
105,0.990389,True
106,0.992323,True
107,0.991834,True
108,0.989666,True
109,0.983828,True
110,0.989107,True
111,0.990584,True
112,0.988121,True
113,0.981325,True
114,0.985088,True
115,0.987644,True
116,0.992566,True
117,0.992225,True
118,0.985607,True
119,0.983610,True
120,0.990125,True
121,0.990654,True
122,0.987583,True
123,0.981353,True
124,0.983103,True
125,0.992096,True
126,0.992885,True
127,0.994929,True
128,0.996840,True
129,0.992548,True
130,0.993955,True
131,0.995938,True
132,0.997051,True
133,0.995389,True
134,0.996079,True
135,0.995439,True
136,0.996768,True
137,0.996771,True
138,0.996854,True
139,0.991924,True
140,0.997291,True
141,0.997695,True
142,0.997049,True
143,0.987508,True
144,0.995017,True
145,0.995840,True
146,0.985188,True
147,0.980985,True
148,0.992203,True
149,0.985609,True
150,0.991565,True
151,0.993818,True
152,0.993757,True
153,0.991711,True
154,0.992905,True
155,0.992963,True
156,0.993182,True
157,0.991915,True
158,0.983124,True
159,0.985585,True
160,0.993200,True
161,0.995348,True
162,0.995852,True
163,0.995796,True
164,0.995859,True
165,0.993602,True
166,0.996289,True
167,0.995583,True
168,0.994695,True
169,0.991162,True
170,0.995744,True
171,0.997088,True
172,0.995931,True
173,0.996261,True
174,0.997420,True
175,0.996383,True
176,0.992331,True
177,0.996815,True
178,0.991571,True
179,0.993454,True
180,0.996026,True
181,0.993138,True
182,0.982741,True
183,0.991693,True
184,0.990412,True
185,0.992378,True
186,0.993900,True
187,0.991701,True
188,0.991518,True
189,0.981045,True
190,0.990983,True
191,0.985883,True
